item_id,item_name,product_code
29620,Aarong Dairy Sour Yogurt | 500 ML,100298
133988,Aarong Dairy Strawberry Y.d. Uht 125 ML,100299
81568,Aarong Dairy Sweetened Yoghurt 100 G,100300
30763,Aarong Dairy Uht Chocolate Milk 200 ML,100301
29475,Aarong Dairy Uht Mango Milk Drink 200 ML,100302
30765,Aarong Dairy Uht Milk 200 ML,100303
29472,Aarong Dairy Uht Strawberry Yogurt Drink 200 ML,100304
28108,Aarong Dairy Uht Vanilla Milk Drink 200 ML,100305
34193,Aarong Earth Aloe Vera Facewash 100 ML,100306
34194,Aarong Earth Honey And Walnut Facewash 100 ML,100307
34201,Aarong Earth Mehedi Hair Pack 100 G,100308
41741,Aarong Earth Neem Face Wash 100 ML,100309
34195,Aarong Earth Neem Facewash 100 ML,100310
11792,Aarong F.c.m.p.ins. 500 G,100311
86498,Aarong Fermented Milk Yorhurt 500 G,100312
133695,Aarong Fresh Milk Uht 200 ML,100313
133745,Aarong Full Cream Milk Powder 400 G (bib),100314
11803,Aarong G Box BD,100315
273020,Aarong Gee 450 GM,100316
101020,Aarong Ghee 200 GM,100317
115328,Aarong Ghee 400â±50 G,100318
4608,Aarong Ghee 900 G Can,100319
4614,Aarong Ghee 400 G Can BD,100320
34196,Aarong Goat Milk Bathing Bar 100 G,100321
34197,Aarong Herbal Face Pack 100 G,100322
34198,Aarong Herbal Face Scrub 100 G,100323
34199,Aarong Herbal Hair Dye 100 G,100324
34200,Aarong Herbal Hair Pack With Seasame Oil 100 G,100325
98270,Aarong Instant Full Cream Milk Powder 500 G,100326
186201,Aarong Instant Low Fat Milk Powder 400 GM,100327
188762,Aarong Kalizira 1 KG,100328
133142,Aarong Kalizira Rice 1 KG,100329
188756,Aarong Kataribhog 5 KG,100330
133144,Aarong Katarivoge Rice 5 KG,100331
28797,Aarong Laban 500 ML,100332
28795,Aarong Labang 250 ML,100333
274646,Aarong Lacchi 200 ML,100334
86503,Aarong Lassi 200 ML,100335
133685,Aarong Liquid Milk 1000 ML,100336
133682,Aarong Low Fat Milk (500 Ml),100337
133830,Aarong Low Fat Milk Powder 400 G (bib),100338
11824,Aarong Low Fat Milk Powder 400 GM BD,100339
133694,Aarong Low Fat Milk Uht 200 ML,100340
29408,Aarong Low Fat Yogurt 500 G,100341
196224,Aarong Mango Juice Uht 250 ML,100342
102974,Aarong Mango Milk (200 Ml),100343
11915,Aarong Mango Milk Drink 250 ML T.pkt,100344
11945,Aarong Mango Milk Drink Uht 200 ML,100345
133690,Aarong Mango Milk Uht Flav. 200 ML,100346
88123,Aarong Matha 200 G,100347
63545,Aarong Milk 50 GM,100348
63544,Aarong Milk (fc Past) 1 Ltr,100349
188757,Aarong Miniket 5 KG,100350
133145,Aarong Miniket Rice 5 KG,100351
274638,Aarong Mozzarella Sliced Cheese 200 GM,100352
34202,Aarong Multani Facepack 1 Pcs,100353
133294,Aarong Mushur Dal 1 KG,100354
78020,Aarong Natural Banglamoti Rice 5 KG,100355
78019,Aarong Natural Basmati Rice 1 KG,100356
101151,Aarong Natural Basmati Rice 1 KG PK,100357
104465,Aarong Natural Chinigura Loose,100358
78015,Aarong Natural Chinigura Rice 5 KG,100359
101148,Aarong Natural Chinigura Rice 2 KG PK,100360
8539,Aarong Natural Chinigura Rice 1 KG Pkt,100361
78022,Aarong Natural [ Gram ] Chola Boot 1 KG,100362
78012,Aarong Natural Kaligira Rice 1 KG,100363
101146,Aarong Natural Kalijira Rice 1 KG PK,100364
8540,Aarong Natural Kalijira Rice 1 KG Pkt,100365
78011,Aarong Natural Katarivog Rice 5 KG,100366
101159,Aarong Natural Katarivog Rice 5 KG PK,100367
8688,Aarong Natural Katarivog Rice 5 KG Pkt,100368
8426,Aarong Natural Lentil 1 KG Pack,100369
63344,Aarong Natural Minicate Rice 5 KG,100370
78025,Aarong Natural Miniket 20 KG,100371
78029,Aarong Natural Miniket Loose Rice Per KG,100372
78010,Aarong Natural Miniket Rice 5 KG,100373
101155,Aarong Natural Miniket Rice 20 KG PK,100374
8687,Aarong Natural Miniket Rice 5 KG Pkt,100375
101143,Aarong Natural Moshur Dal (loose),100376
101145,Aarong Natural Moshur Dal 1 KG PK,100377
63345,Aarong Natural Najirshail Rice 5 KG,100378
78034,Aarong Natural Nazirshail 20 KG,100379
78035,Aarong Natural Nazirshail Loose Rice Per KG,100380
78009,Aarong Natural Nazirshail Rice 5 KG,100381
101161,Aarong Natural Nazirshail Rice 20 KG PK,100382
8689,Aarong Natural Nazirshail Rice 5 KG Pkt,100383
133143,Aarong Nazirshail Rice 5 KG,100384
188755,Aarong Nazirshall 5 KG,100385
34203,Aarong Neem Bathing Bar 100 G,100386
102936,Aarong Paneer 200 GM,100387
51918,Aarong Pasteurized Milk 500 ML,100388
77381,Aarong Pasteurized Milk 1 Ltr,100389
29476,Aarong Pasteurized Premium Milk 1 Ltr,100390
86500,Aarong Pasteurized Standardized Milk 1 L,100391
86501,Aarong Pasteurized Toned Milk 500 ML,100392
30760,Aarong Pasturized FC Milk 1000 ML,100393
30762,Aarong Pasturized LF Milk 500 ML,100394
133710,Aarong Powder Milk 500 GM,100395
34204,Aarong Sea Salt Body Scrub,100396
29482,Aarong Shredded Cheezzarella Cheese 200 G,100397
98334,Aarong Shredded Cheezzarella Classic 200 GM,100398
186184,Aarong Shredded Chezarella Cheese 500 GM,100399
52285,Aarong Shredded Mozzarella Cheese 200 G,100400
133995,Aarong Shredded Mozzarella Classic 500 G,100401
272461,Aarong Shredded Mozzarella Classic Cheese 200 GM,100402
101047,Aarong Slice Cheese Classic 204 Gm.,100403
102971,Aarong Slice Cheese Pizza 204 Gm.,100404
101505,Aarong Slice Peri Peri 204 GM,100405
29447,Aarong Slice Pizza Cheese 200 G,100406
104558,Aarong Sliced Cheese Classic 204 GM,100407
186183,Aarong Sliced Cheese Pari Pari 204 GM,100408
133994,Aarong Sliced Cheese Pizza 204 G,100409
29409,Aarong Sour Yogurt 1 KG,100410
186179,Aarong Spread Cheese Chilli Garlic 180 GM,100411
186176,Aarong Spread Cheese Classic 180 GM,100412
186180,Aarong Spread Cheese Cream 180 GM,100413
186178,Aarong Spread Cheese Garlic 180 GM,100414
186177,Aarong Spread Cheese Pizza 180 GM,100415
3940,Aarong Spread Cream Cheese 180 G,100416
134158,Aarong Standardized Pasteuri.milk 1000 ML,100417
133691,Aarong Strawberry Yoghurt Uht 250 ML,100418
11944,Aarong Strawberry Yogurt Drink Uht 125 ML,100419
133668,Aarong Sweet Curd 500 ML,100420
134190,Aarong Sweet Pantua Can 1 KG,100421
134192,Aarong Sweet Rosogolla Can 1 KG,100422
99712,Aarong Sweet Yogurt (misty Doi) 500 ML,100423
88122,Aarong Sweetened Yoghurt 100 G,100424
28779,Aarong Sweetened Yogurt | 500 G,100425
134010,Aarong Sweetened Yogurt Cup 100 G,100426
86499,Aarong Sweetened Yorhurt 500 G,100427
87115,Aarong Table Met,100428
6304,Aarong Tamarind Juice 250 ML Pkt,100429
196227,Aarong Tamarind Juice Uht 250 ML,100430
274633,Aarong Tok Doi 500 ML,100431
186189,Aarong Uht Chocolate Milk Tretra Pack 200 ML,100432
115329,Aarong Uht Full Cream Liquid Milk 500 ML,100433
186187,Aarong Uht Liquid Milk Fino Pack 500 ML,100434
12028,Aarong Uht Low Fat Milk 200 ML,100435
186193,Aarong Uht Mango Milk Tretra Pack 200 ML,100436
28800,Aarong Uht Milk 200 ML,100437
11929,Aarong Uht Milk Full Cream 500 ML Pkt BD,100438
11976,Aarong Uht Mocha Milk Drink 200 ML,100439
186196,Aarong Uht Mocha Milk Tretra Pack 200 ML,100440
98274,Aarong Uht Strawberry Yogurt Drink 200 ML,100441
186191,Aarong Uht Strawberry Yogurt Tretra Pack 200 ML,100442
186195,Aarong Uht Vanila Milk Tretra Pack 200 ML,100443
11977,Aarong Uht Vanilla Milk Drink 200 ML,100444
34205,Aarong Uptan Face Pack 100 G,100445
133669,Aarong White Curd 500 ML,100446
29410,Aarong Yogurt Probiotic 500 G,100447
45582,Aas Comics,100448
212984,Aasian Vinegar 500 ML,100449
117996,Aavid Beckham Beyond Forever Edt 90 ML,100450
109017,Aaz Drop Shoulder,100451
109018,Aaz Half Sleeve,100452
109019,Aaz Hoodie,100453
271509,AB Black Seduction Men Edt 100 ML,100454
271389,AB Blue Seductions Men Edt 200 ML,100455
271374,AB Blue Seductions Women Edt 200 ML,100456
89282,AB Gold Blend,100457
271508,AB King OF Seduction Absolute Men Edt 100 ML,100458
271468,AB King OF Seduction Men Edt 100 ML,100459
102998,AB Organja Unstitched PK (ip),100460
88634,AB Original Blend,100461
271026,AB Power OF Seduction Edt 100 ML,100462
271373,AB Power OF Seductions Men Edt 200 ML,100463
271463,AB Secret Edt 100 ML,100464
271422,AB The Golden Secret Men Edt 200 ML,100465
270965,AB The Secret Edt 200 ML,100466
272105,Abali Sunflower Oil 5 Lit,100467
190524,Abali Turkish Sunflower Oil 5 L,100468
195801,Abbott Pediasure Complete Vanilla 400 G,100469
195799,Abbott Similac 2 Gold 800 G,100470
166628,Abc Chocolate Mould,100471
166552,Abc Cutter,100472
112756,Abc Fazle,100473
146802,Abc Instant Noddle Chicken Flavour 2 1 Free),100474
198608,Abc Instant White Coffee Premix 23±3 G,100475
166554,Abc Sauce,100476
118480,Abc Soft Ball,100477
136100,Abc Tomato Ketchup 335 Ml(bogof),100478
274416,Abdolax 10 MG Tab,100479
274418,Abdolax 100 ML Sol,100480
65251,Abecab 5 20 MG Tab,100481
60028,Absolut Berry Vodkarita Sparkling 4 12o Can,100482
54073,Absolut Mango Mule Sparkling,100483
53484,Absolut OS Drk,100484
54234,Absolut Vodka,100485
54237,Absolut Vodka Bottle,100486
54233,Absolut Vodka 80 Proof 50 ML,100487
54075,Absolut Vodka Soda Pineapple Martini 12 OZ,100488
273126,Absolute Body Spray Game 135 ML,100489
54236,Absolute Vodka,100490
51951,Absorbent Cotton Woo 25 G,100491
51755,Absorbent Cotton Wool 200 G,100492
42539,Abstract Gift Wrapping Paper 1 Piece,100493
16468,Abu Sana Gold (hazelnut) 250 GM AE,100494
15432,Abu Sana Gold Cappucino 350 G TR,100495
15435,Abu Sana Gold Caramel 350 G TR,100496
15429,Abu Sana Gold Carmel 750 G TR,100497
222904,Abu Sana Gold Chocolate Coconut 650 GM,100498
222973,Abu Sana Gold Chocolate Coconut 250 G TR,100499
222907,Abu Sana Gold Chocolate Hazelnut 650 GM,100500
222977,Abu Sana Gold Chocolate Hazelnut 250 G TR,100501
226404,Abu Sana Gold Chocolate Mango 650 G,100502
226407,Abu Sana Gold Chocolate Special 600 G,100503
222910,Abu Sana Gold Chocolate Strawberry 650 GM,100504
222975,Abu Sana Gold Chocolate Strawbry 250 G TR,100505
15442,Abu Sana Gold Coconut 700 G TR,100506
15430,Abu Sana Gold G TR,100507
15426,Abu Sana Gold Hazelnut 750 G TR,100508
15175,Abu Sana Gold Mango Chocolate 650 G TR,100509
15428,Abu Sana Gold Mango 750 G TR,100510
15434,Abu Sana Gold Orange 350 G TR,100511
15174,Abu Sana Gold Special Chocolate 600 G TR,100512
15427,Abu Sana Gold Strawberry 750 G TR,100513
406,Abul Khair Ispat,100514
118250,AC Led 10w DL Bulb E27 EL,100515
118249,AC Led 10w DL Bulb EL,100516
118268,AC Led 22w DL Ledlux Slim,100517
118269,AC Led 22w DL Ledlux Slim E27,100518
118245,AC Led .5w C.r Mixed Color B 22,100519
118246,AC Led .5w C.r Mixed Color E 27,100520
118247,AC Led E27 Ledlux Slim,100521
118248,AC Led Ledlux Slim,100522
9267,Accent Seasoning Sauce 56 G,100523
213005,Accent Wakes UP Food Vla.enhancer 127 G,100524
274639,Ace 500tab,100525
274642,Ace Drop 30 ML,100526
274640,Ace Syp 60 ML,100527
274643,Ace XR,100528
26257,Aci Aerosol 475 ML,100529
205930,Aci Aerosol 475 Ml+cockroach Spray(combo),100530
