itemA,itemB,co_purchase_count
Carrot (China)-kg,Special Chinigura Rice-1Kg,2
Carrot (China)-kg,Sweet Pumpkin(kg),2
Cauliflower(B)-Pc,Parboil (Potol)-kg,2
Cauliflower(B)-Pc,Snack Guard (Chichinga)-kg,2
Cauliflower(B)-Pc,Sweet Pumpkin(kg),2
Center Fresh 20g,Maggi Noodles Masala Taste-496g,2
Chashi Aromatic Chinigura Rice-1Kg,Diploma Milk Powder-500g,2
Chashi Aromatic Chinigura Rice-1Kg,Prince Cone Mehedi,2
Cheesy Bites-40gm,Fresh Refined Sugar-1000gm,2
Cheesy Bites-40gm,Lux Soft Glow -35g (4pcs Combo),2
Chia Seed (Dana) New-100g,Shrimp Fish Bagda,2
Chia Seed (Dana) New-100g,Teer Atta 2kg,2
Chicken (B-Skin Less),Chicken (Deshi),2
Chicken (B-Skin Less),Chicken Soup (Deshi),2
Chicken (B-Skin Less),Coriander Leaf Pcs-100gm,2
Chicken (B-Skin Less),Milk Vita Liquid Milk-1Ltr,2
Chicken (B-Skin Less),Onion Deshi(New)-kg,2
Chicken (B-Skin Less),Rin Advanced-500gm,2
Chicken (B-Skin Less),Shrimp Fish Bagda,2
Chicken (B-Skin Less),Teer Maida-2kg,2
Chicken (Deshi),Rin Advanced-500gm,2
Chicken (Deshi),Shrimp Fish Bagda,2
Chicken Deshi (Pakistani) Cock,Eye Of Arum(Tall) (Kachurmukhi)-kg,2
Chicken Deshi (Pakistani) Cock,Garlic China Big-(kg),2
Chicken Deshi (Pakistani) Cock,Milk Vita Liquid Milk-1Ltr,2
Chicken Deshi (Pakistani) Cock,Poa Fish Small-(Deshi),2
Chicken Deshi (Pakistani) Cock,Radhuni Spices Cumin-100gm,2
Chicken Deshi (Pakistani) Cock,Wheel 2in1 Clean & Fresh Powder-1Kg,2
Chicken Deshi Cock (Live),Musur Pulse Kangaroo -1Kg (sp),2
China Jhilmil Majuni (4/23),Green Chilli(kg),2
China Jhilmil Majuni (4/23),RD Chocolate Milk -200ml,2
China Jhilmil Majuni (4/23),Vim Dishwashing Liquid- 500ml,2
China Punch Clip(05/23),Dried Chilli-200gPkt,2
Chira-500g,Garlic China Big-(kg),2
Chira-500g,Queens Nun Bread- 250g,2
Chira-500g,Vermicelli Samai-200gm,2
Cinnamon-100g (Daruchine),Confidence Salt-1Kg,2
Cinnamon-100g (Daruchine),Dettol Cool Soap -125gm,2
Cinnamon-100g (Daruchine),Garlic China Big-(kg),2
Cinnamon-100g (Daruchine),Golda Fish XL,2
Cinnamon-100g (Daruchine),Milk Vita (Ghee)-200g,2
Cinnamon-100g (Daruchine),Mola Fish (THR),2
Cinnamon-100g (Daruchine),Musur Pulse Kangaroo -1Kg (sp),2
Cinnamon-100g (Daruchine),Onion Deshi(New)-kg,2
Cinnamon-100g (Daruchine),Snack Guard (Chichinga)-kg,2
Cinnamon-100g (Daruchine),Usta(kg),2
Cinnamon-100g (Daruchine),Vim Bar 300g (Lemon),2
Cinnamon-100g (Daruchine),Vim Bar Lemon-125gm,2
Coca Cola-2.25Lt(Pet),Fortune KG Mustard Oil- 250ml,2
Coca Cola-2.25Lt(Pet),Tomato L.C(kg),2
Cock Roast (Deshi)-PC,CP Chicken Nugget-320g,2
Cock Roast (Deshi)-PC,Cucumber (Hybrid)-kg,2
Cock Roast (Deshi)-PC,Olympic Energy Plus Malai Bis-45gm,2
Confidence Salt-1Kg,Mola Fish (THR),2
Confidence Salt-1Kg,Mug Pulse (Sona)-1kg,2
Confidence Salt-1Kg,Vim Bar 300g (Lemon),2
Coriander Leaf Pcs-100gm,Cucumber Deshi (kg),2
Coriander Leaf Pcs-100gm,Meant Leaf (Pudina Leaf)- Pc,2
Cosco Soap-80gm,Mirzapore Best Leaf-200gm,2
Cow Lever-K,Cow Stomach-K,2
Cow Stomach-K,Golden Raisin (Kismis)-200gm,2
Cow Stomach-K,Musur Pulse Kangaroo -1Kg (sp),2
